date,headline,ticker,source
2021-03-05,QQQ dividend increase signals management confidence,QQQ,Yahoo Finance
2021-03-05,SPY reports record revenue in Q2 results,SPY,Yahoo Finance
2021-03-05,SPY holds investor day with no major announcements,SPY,Yahoo Finance
2021-03-08,Competition intensifies as QQQ loses market share,QQQ,CNBC
2021-03-08,GOOGL faces regulatory scrutiny over business practices,GOOGL,MarketWatch
2021-03-08,Strong consumer demand drives MSFT sales higher,MSFT,CNBC
2021-03-09,Market rally lifts MSFT to new 52-week high,MSFT,Yahoo Finance
2021-03-09,MSFT reports record revenue in Q3 results,MSFT,CNBC
2021-03-09,MSFT files routine regulatory paperwork,MSFT,Yahoo Finance
2021-03-10,MSFT reports results in line with expectations,MSFT,Yahoo Finance
2021-03-10,QQQ announces major share buyback program,QQQ,MarketWatch
2021-03-11,GDP growth slows but beats revised expectations,,Reuters
2021-03-11,Short sellers increase bets against QQQ,QQQ,CNBC
2021-03-12,SPY announces major share buyback program,SPY,MarketWatch
2021-03-15,Concerns mount over SPY slowing growth trajectory,SPY,Yahoo Finance
2021-03-15,Trade tensions weigh on QQQ international revenue,QQQ,CNBC
2021-03-15,MSFT layoffs signal deeper problems in core business,MSFT,CNBC
2021-03-16,S&P 500 closes at session highs on broad rally,,Reuters
2021-03-17,Short sellers increase bets against SPY,SPY,Bloomberg
2021-03-17,MSFT holds investor day with no major announcements,MSFT,CNBC
2021-03-18,GOOGL completes previously announced restructuring,GOOGL,Reuters
2021-03-18,AAPL announces major share buyback program,AAPL,Yahoo Finance
2021-03-19,GOOGL hit by data breach affecting millions of users,GOOGL,Bloomberg
2021-03-22,"SPY misses revenue estimates, stock drops",SPY,MarketWatch
2021-03-22,Trade tensions weigh on GOOGL international revenue,GOOGL,Yahoo Finance
2021-03-22,SPY dividend increase signals management confidence,SPY,Yahoo Finance
2021-03-23,SPY hit by data breach affecting millions of users,SPY,CNBC
2021-03-23,Concerns mount over GOOGL slowing growth trajectory,GOOGL,MarketWatch
2021-03-23,SPY board approves routine corporate matters,SPY,CNBC
2021-03-24,Analysts maintain hold rating on GOOGL,GOOGL,Bloomberg
2021-03-24,AAPL to present at upcoming investor conference,AAPL,Bloomberg
2021-03-24,Global markets rally on trade deal optimism,,Reuters
2021-03-25,Rising costs pressure AAPL profit margins,AAPL,Bloomberg
2021-03-25,Trade tensions weigh on SPY international revenue,SPY,CNBC
2021-03-25,Bond market inversion deepens recession concerns,,MarketWatch
2021-03-29,SPY reports record revenue in Q2 results,SPY,MarketWatch
2021-03-30,Wall Street bullish on QQQ growth prospects,QQQ,Yahoo Finance
2021-04-01,"Job report exceeds expectations, stocks mixed",,Bloomberg
2021-04-02,Housing market shows signs of cooling as rates rise,,Reuters
2021-04-02,GOOGL layoffs signal deeper problems in core business,GOOGL,MarketWatch
2021-04-05,Mixed signals for GOOGL as sector consolidates,GOOGL,MarketWatch
2021-04-05,SPY warns of supply chain disruptions impacting margins,SPY,Bloomberg
2021-04-06,Markets tumble on recession fears and weak economic data,,Yahoo Finance
2021-04-07,GOOGL completes previously announced restructuring,GOOGL,Bloomberg
2021-04-07,Options activity in GOOGL suggests sideways movement,GOOGL,Bloomberg
2021-04-08,AAPL faces regulatory scrutiny over business practices,AAPL,Bloomberg
2021-04-09,SPY holds investor day with no major announcements,SPY,CNBC
2021-04-09,AAPL secures major government contract worth billions,AAPL,Yahoo Finance
2021-04-09,QQQ maintains dividend at current levels,QQQ,Reuters
2021-04-12,MSFT completes previously announced restructuring,MSFT,MarketWatch
2021-04-13,"SPY misses revenue estimates, stock drops",SPY,Reuters
2021-04-13,SPY dividend increase signals management confidence,SPY,MarketWatch
2021-04-14,QQQ trading near 50-day moving average,QQQ,Reuters
2021-04-15,"AAPL beats earnings expectations, shares surge",AAPL,Yahoo Finance
2021-04-16,AAPL holds investor day with no major announcements,AAPL,Reuters
2021-04-19,Analysts maintain hold rating on SPY,SPY,MarketWatch
2021-04-19,MSFT cloud revenue growth accelerates in latest quarter,MSFT,Reuters
2021-04-20,QQQ volume picks up ahead of next week earnings,QQQ,CNBC
2021-04-21,"QQQ beats earnings expectations, shares surge",QQQ,CNBC
2021-04-23,Market selloff drags QQQ below key support levels,QQQ,Reuters
2021-04-26,Market selloff drags SPY below key support levels,SPY,Yahoo Finance
2021-04-26,MSFT secures major government contract worth billions,MSFT,Reuters
2021-04-26,MSFT CFO departure raises governance questions,MSFT,Bloomberg
2021-04-28,QQQ CFO departure raises governance questions,QQQ,Yahoo Finance
2021-04-29,VIX spikes as volatility returns to equity markets,,CNBC
2021-04-30,Tech sector leads market decline on growth concerns,,Bloomberg
2021-04-30,SPY volume picks up ahead of next week earnings,SPY,Bloomberg
2021-04-30,GOOGL launches innovative product to positive reviews,GOOGL,MarketWatch
2021-05-03,SPY raises full-year guidance above consensus,SPY,Bloomberg
2021-05-03,Trading volume in GOOGL remains steady ahead of earnings,GOOGL,Yahoo Finance
2021-05-03,Markets tumble on recession fears and weak economic data,,MarketWatch
2021-05-04,AAPL files routine regulatory paperwork,AAPL,CNBC
2021-05-07,Bond market inversion deepens recession concerns,,MarketWatch
2021-05-10,MSFT announces leadership transition plan,MSFT,Bloomberg
2021-05-10,"MSFT misses revenue estimates, stock drops",MSFT,MarketWatch
2021-05-11,Trade tensions weigh on GOOGL international revenue,GOOGL,Bloomberg
2021-05-12,SPY files routine regulatory paperwork,SPY,MarketWatch
2021-05-13,SPY lowers guidance amid macroeconomic headwinds,SPY,MarketWatch
2021-05-17,Wall Street bullish on MSFT growth prospects,MSFT,CNBC
2021-05-17,AAPL completes previously announced restructuring,AAPL,Reuters
2021-05-17,MSFT files routine regulatory paperwork,MSFT,MarketWatch
2021-05-18,AAPL board approves routine corporate matters,AAPL,MarketWatch
2021-05-19,"Fed signals potential rate changes, markets react",,Bloomberg
2021-05-19,QQQ warns of supply chain disruptions impacting margins,QQQ,MarketWatch
2021-05-20,AAPL hit by data breach affecting millions of users,AAPL,CNBC
2021-05-20,GDP growth slows but beats revised expectations,,Reuters
2021-05-21,MSFT trading near 50-day moving average,MSFT,Yahoo Finance
2021-05-21,Options activity in GOOGL suggests sideways movement,GOOGL,Yahoo Finance
2021-05-21,QQQ CFO departure raises governance questions,QQQ,Reuters
2021-05-24,Market rally lifts QQQ to new 52-week high,QQQ,Yahoo Finance
2021-05-24,S&P 500 closes at session highs on broad rally,,Reuters
2021-05-25,GOOGL layoffs signal deeper problems in core business,GOOGL,CNBC
2021-05-25,Cryptocurrency volatility spills over into tech stocks,,MarketWatch
2021-05-26,MSFT announces major share buyback program,MSFT,CNBC
2021-05-27,QQQ faces regulatory scrutiny over business practices,QQQ,Yahoo Finance
2021-05-27,Market rally lifts MSFT to new 52-week high,MSFT,Reuters
2021-05-27,Market rally lifts GOOGL to new 52-week high,GOOGL,Yahoo Finance
2021-05-28,QQQ dividend increase signals management confidence,QQQ,CNBC
2021-05-28,Analysts downgrade MSFT citing valuation concerns,MSFT,CNBC
2021-05-31,Strong consumer demand drives GOOGL sales higher,GOOGL,MarketWatch
2021-05-31,Sector rotation leaves QQQ flat on the day,QQQ,CNBC
2021-06-01,Options activity in QQQ suggests sideways movement,QQQ,MarketWatch
2021-06-02,Manufacturing PMI signals contraction for third month,,Reuters
2021-06-02,Options activity in MSFT suggests sideways movement,MSFT,Bloomberg
2021-06-03,AAPL announces major share buyback program,AAPL,Bloomberg
2021-06-03,GOOGL holds investor day with no major announcements,GOOGL,Reuters
2021-06-04,Trading volume in QQQ remains steady ahead of earnings,QQQ,Reuters
2021-06-07,QQQ profit margins expand amid cost cutting efforts,QQQ,CNBC
2021-06-07,Cryptocurrency volatility spills over into tech stocks,,Bloomberg
2021-06-08,Competition intensifies as MSFT loses market share,MSFT,Yahoo Finance
2021-06-10,MSFT announces major share buyback program,MSFT,MarketWatch
2021-06-10,SPY faces class action lawsuit from shareholders,SPY,CNBC
2021-06-11,"Fed signals potential rate changes, markets react",,Bloomberg
2021-06-14,Housing market shows signs of cooling as rates rise,,CNBC
2021-06-14,MSFT secures major government contract worth billions,MSFT,CNBC
2021-06-14,AAPL faces regulatory scrutiny over business practices,AAPL,CNBC
2021-06-15,"MSFT beats earnings expectations, shares surge",MSFT,CNBC
2021-06-15,QQQ completes previously announced restructuring,QQQ,Reuters
2021-06-16,GOOGL board approves routine corporate matters,GOOGL,CNBC
2021-06-16,GOOGL board approves routine corporate matters,GOOGL,Yahoo Finance
2021-06-17,Analysts maintain hold rating on MSFT,MSFT,CNBC
2021-06-21,Dollar strengthens as global growth concerns persist,,Yahoo Finance
2021-06-22,Wall Street bullish on MSFT growth prospects,MSFT,Reuters
2021-06-22,AAPL layoffs signal deeper problems in core business,AAPL,CNBC
2021-06-22,Options activity in MSFT suggests sideways movement,MSFT,Yahoo Finance
2021-06-23,Manufacturing PMI signals contraction for third month,,Yahoo Finance
2021-06-24,Central banks globally signal tightening monetary policy,,Yahoo Finance
2021-06-24,QQQ maintains dividend at current levels,QQQ,Yahoo Finance
2021-06-25,"Fed signals potential rate changes, markets react",,Reuters
2021-06-28,SPY to present at upcoming investor conference,SPY,Reuters
2021-06-28,Trading volume in MSFT remains steady ahead of earnings,MSFT,MarketWatch
2021-07-01,MSFT to present at upcoming investor conference,MSFT,Bloomberg
2021-07-02,Trading volume in GOOGL remains steady ahead of earnings,GOOGL,Reuters
2021-07-02,SPY warns of supply chain disruptions impacting margins,SPY,Bloomberg
2021-07-06,Strong consumer demand drives MSFT sales higher,MSFT,Reuters
2021-07-06,GOOGL announces leadership transition plan,GOOGL,Yahoo Finance
2021-07-07,Housing market shows signs of cooling as rates rise,,MarketWatch
2021-07-07,Mixed signals for SPY as sector consolidates,SPY,Bloomberg
2021-07-07,MSFT trading near 50-day moving average,MSFT,Yahoo Finance
2021-07-08,AAPL dividend increase signals management confidence,AAPL,CNBC
2021-07-08,Manufacturing PMI signals contraction for third month,,Yahoo Finance
2021-07-09,AAPL expands into new market with strategic acquisition,AAPL,Reuters
2021-07-09,QQQ expands into new market with strategic acquisition,QQQ,MarketWatch
2021-07-13,Market rally lifts GOOGL to new 52-week high,GOOGL,CNBC
2021-07-14,GOOGL expands into new market with strategic acquisition,GOOGL,Bloomberg
2021-07-14,QQQ CFO departure raises governance questions,QQQ,Bloomberg
2021-07-15,MSFT holds investor day with no major announcements,MSFT,CNBC
2021-07-15,Small caps outperform as risk appetite improves,,MarketWatch
2021-07-16,Rising costs pressure MSFT profit margins,MSFT,Yahoo Finance
2021-07-19,Sector rotation leaves AAPL flat on the day,AAPL,CNBC
2021-07-20,AAPL announces major share buyback program,AAPL,Bloomberg
2021-07-20,Consumer confidence drops to lowest level in six months,,MarketWatch
2021-07-22,AAPL faces class action lawsuit from shareholders,AAPL,MarketWatch
2021-07-26,SPY to present at upcoming investor conference,SPY,CNBC
2021-07-27,Sector rotation leaves GOOGL flat on the day,GOOGL,CNBC
2021-07-27,Manufacturing PMI signals contraction for third month,,CNBC
2021-07-29,Market selloff drags SPY below key support levels,SPY,Bloomberg
2021-07-29,MSFT to present at upcoming investor conference,MSFT,Bloomberg
2021-07-30,Analysts maintain hold rating on GOOGL,GOOGL,CNBC
2021-08-02,Central banks globally signal tightening monetary policy,,MarketWatch
2021-08-03,MSFT raises full-year guidance above consensus,MSFT,Bloomberg
2021-08-03,GDP growth slows but beats revised expectations,,Bloomberg
2021-08-03,Options activity in AAPL suggests sideways movement,AAPL,Yahoo Finance
2021-08-04,QQQ faces class action lawsuit from shareholders,QQQ,Yahoo Finance
2021-08-04,GOOGL completes previously announced restructuring,GOOGL,Reuters
2021-08-06,MSFT announces major share buyback program,MSFT,MarketWatch
2021-08-11,Earnings season kicks off with mixed bank results,,MarketWatch
2021-08-11,SPY warns of supply chain disruptions impacting margins,SPY,Bloomberg
2021-08-12,AAPL faces regulatory scrutiny over business practices,AAPL,Bloomberg
2021-08-13,"GOOGL misses revenue estimates, stock drops",GOOGL,Bloomberg
2021-08-13,SPY reports results in line with expectations,SPY,Reuters
2021-08-17,Rising costs pressure MSFT profit margins,MSFT,Yahoo Finance
2021-08-17,Small caps outperform as risk appetite improves,,Bloomberg
2021-08-17,Sector rotation leaves MSFT flat on the day,MSFT,Bloomberg
2021-08-18,Trading volume in SPY remains steady ahead of earnings,SPY,CNBC
2021-08-19,Markets tumble on recession fears and weak economic data,,Yahoo Finance
2021-08-19,MSFT expands into new market with strategic acquisition,MSFT,MarketWatch
2021-08-20,Analysts maintain hold rating on SPY,SPY,Reuters
2021-08-23,Market rally lifts GOOGL to new 52-week high,GOOGL,Yahoo Finance
2021-08-24,SPY faces regulatory scrutiny over business practices,SPY,MarketWatch
2021-08-25,GOOGL hit by data breach affecting millions of users,GOOGL,MarketWatch
2021-08-26,MSFT expands into new market with strategic acquisition,MSFT,Bloomberg
2021-08-27,Small caps outperform as risk appetite improves,,CNBC
2021-08-30,Options activity in GOOGL suggests sideways movement,GOOGL,MarketWatch
2021-08-30,Markets tumble on recession fears and weak economic data,,Reuters
2021-08-30,Analysts maintain hold rating on QQQ,QQQ,Yahoo Finance
2021-08-31,Trading volume in QQQ remains steady ahead of earnings,QQQ,MarketWatch
2021-09-02,Concerns mount over QQQ slowing growth trajectory,QQQ,CNBC
2021-09-02,Institutional investors increase holdings in GOOGL,GOOGL,Bloomberg
2021-09-06,QQQ reports results in line with expectations,QQQ,Bloomberg
2021-09-06,MSFT faces class action lawsuit from shareholders,MSFT,Reuters
2021-09-07,Trade tensions weigh on AAPL international revenue,AAPL,CNBC
2021-09-08,GOOGL reports record revenue in Q2 results,GOOGL,Reuters
2021-09-09,AAPL holds investor day with no major announcements,AAPL,Yahoo Finance
2021-09-09,"QQQ misses revenue estimates, stock drops",QQQ,MarketWatch
2021-09-10,GOOGL faces class action lawsuit from shareholders,GOOGL,CNBC
2021-09-10,MSFT reports record revenue in Q3 results,MSFT,CNBC
2021-09-10,Consumer confidence drops to lowest level in six months,,MarketWatch
2021-09-13,MSFT trading near 50-day moving average,MSFT,Yahoo Finance
2021-09-13,SPY hit by data breach affecting millions of users,SPY,Bloomberg
2021-09-13,AAPL hit by data breach affecting millions of users,AAPL,Yahoo Finance
2021-09-14,GOOGL to present at upcoming investor conference,GOOGL,Bloomberg
2021-09-15,Strong consumer demand drives SPY sales higher,SPY,CNBC
2021-09-16,Earnings season kicks off with mixed bank results,,CNBC
2021-09-16,AAPL cloud revenue growth accelerates in latest quarter,AAPL,MarketWatch
2021-09-20,Cryptocurrency volatility spills over into tech stocks,,CNBC
2021-09-20,MSFT reports record revenue in Q3 results,MSFT,CNBC
2021-09-21,AAPL maintains dividend at current levels,AAPL,Reuters
2021-09-22,MSFT maintains dividend at current levels,MSFT,Bloomberg
2021-09-22,Global markets rally on trade deal optimism,,MarketWatch
2021-09-23,S&P 500 closes at session highs on broad rally,,CNBC
2021-09-23,Concerns mount over AAPL slowing growth trajectory,AAPL,Bloomberg
2021-09-27,MSFT announces leadership transition plan,MSFT,MarketWatch
2021-09-28,GDP growth slows but beats revised expectations,,CNBC
2021-09-28,"QQQ misses revenue estimates, stock drops",QQQ,MarketWatch
2021-09-29,Market selloff drags MSFT below key support levels,MSFT,Yahoo Finance
2021-09-29,AAPL announces major share buyback program,AAPL,Bloomberg
2021-09-30,Institutional investors increase holdings in MSFT,MSFT,Yahoo Finance
2021-09-30,Rising costs pressure GOOGL profit margins,GOOGL,Reuters
2021-09-30,Wall Street bullish on GOOGL growth prospects,GOOGL,MarketWatch
2021-10-01,Cryptocurrency volatility spills over into tech stocks,,Yahoo Finance
2021-10-05,SPY announces major share buyback program,SPY,Yahoo Finance
2021-10-05,Analysts maintain hold rating on QQQ,QQQ,Bloomberg
2021-10-05,AAPL dividend increase signals management confidence,AAPL,CNBC
2021-10-07,QQQ layoffs signal deeper problems in core business,QQQ,MarketWatch
2021-10-08,Trading volume in MSFT remains steady ahead of earnings,MSFT,MarketWatch
2021-10-11,QQQ dividend increase signals management confidence,QQQ,Bloomberg
2021-10-11,Market selloff drags MSFT below key support levels,MSFT,MarketWatch
2021-10-11,Consumer confidence drops to lowest level in six months,,Yahoo Finance
2021-10-12,Options activity in AAPL suggests sideways movement,AAPL,Reuters
2021-10-13,Institutional investors increase holdings in GOOGL,GOOGL,Bloomberg
2021-10-14,Tech sector leads market decline on growth concerns,,MarketWatch
2021-10-18,Mixed signals for GOOGL as sector consolidates,GOOGL,CNBC
2021-10-18,Trade tensions weigh on AAPL international revenue,AAPL,Reuters
2021-10-19,MSFT board approves routine corporate matters,MSFT,CNBC
2021-10-19,S&P 500 closes at session highs on broad rally,,Bloomberg
2021-10-20,MSFT profit margins expand amid cost cutting efforts,MSFT,CNBC
2021-10-22,Rising costs pressure QQQ profit margins,QQQ,Yahoo Finance
2021-10-26,Analysts downgrade GOOGL citing valuation concerns,GOOGL,Yahoo Finance
2021-10-26,MSFT CFO departure raises governance questions,MSFT,MarketWatch
2021-10-26,MSFT cloud revenue growth accelerates in latest quarter,MSFT,Reuters
2021-10-27,QQQ files routine regulatory paperwork,QQQ,CNBC
2021-10-27,Market selloff drags AAPL below key support levels,AAPL,MarketWatch
2021-10-27,MSFT profit margins expand amid cost cutting efforts,MSFT,Bloomberg
2021-10-28,GOOGL CFO departure raises governance questions,GOOGL,Bloomberg
2021-10-28,Analysts maintain hold rating on MSFT,MSFT,MarketWatch
2021-10-29,QQQ announces leadership transition plan,QQQ,Reuters
2021-11-01,Treasury yields climb as inflation data tops expectations,,CNBC
2021-11-01,SPY announces leadership transition plan,SPY,Reuters
2021-11-01,AAPL profit margins expand amid cost cutting efforts,AAPL,Yahoo Finance
2021-11-02,SPY maintains dividend at current levels,SPY,Bloomberg
2021-11-04,MSFT lowers guidance amid macroeconomic headwinds,MSFT,Reuters
2021-11-05,Earnings season kicks off with mixed bank results,,CNBC
2021-11-09,QQQ hit by data breach affecting millions of users,QQQ,Reuters
2021-11-10,Concerns mount over GOOGL slowing growth trajectory,GOOGL,MarketWatch
2021-11-10,Rising costs pressure QQQ profit margins,QQQ,MarketWatch
2021-11-10,Oil prices surge on geopolitical tensions in Middle East,,Reuters
2021-11-15,Sector rotation leaves AAPL flat on the day,AAPL,Bloomberg
2021-11-16,Rising costs pressure SPY profit margins,SPY,Bloomberg
2021-11-18,Analysts maintain hold rating on GOOGL,GOOGL,Yahoo Finance
2021-11-19,Institutional investors increase holdings in AAPL,AAPL,CNBC
2021-11-22,AAPL completes previously announced restructuring,AAPL,Bloomberg
2021-11-23,MSFT faces regulatory scrutiny over business practices,MSFT,Yahoo Finance
2021-11-23,MSFT announces major share buyback program,MSFT,MarketWatch
2021-11-24,AAPL warns of supply chain disruptions impacting margins,AAPL,CNBC
2021-11-24,SPY warns of supply chain disruptions impacting margins,SPY,MarketWatch
2021-11-26,MSFT faces class action lawsuit from shareholders,MSFT,Reuters
2021-11-29,AAPL board approves routine corporate matters,AAPL,Reuters
2021-11-29,AAPL hit by data breach affecting millions of users,AAPL,Yahoo Finance
2021-11-30,SPY cloud revenue growth accelerates in latest quarter,SPY,CNBC
2021-11-30,GOOGL reports results in line with expectations,GOOGL,Reuters
2021-11-30,AAPL announces leadership transition plan,AAPL,CNBC
2021-12-01,Trading volume in QQQ remains steady ahead of earnings,QQQ,MarketWatch
2021-12-01,AAPL holds investor day with no major announcements,AAPL,Reuters
2021-12-02,MSFT warns of supply chain disruptions impacting margins,MSFT,Bloomberg
2021-12-02,Market rally lifts SPY to new 52-week high,SPY,Yahoo Finance
2021-12-03,Trading volume in QQQ remains steady ahead of earnings,QQQ,MarketWatch
2021-12-07,Retail investors drive unusual options activity,,Yahoo Finance
2021-12-07,Global markets rally on trade deal optimism,,Yahoo Finance
2021-12-08,Options activity in GOOGL suggests sideways movement,GOOGL,CNBC
2021-12-10,AAPL maintains dividend at current levels,AAPL,Bloomberg
2021-12-13,QQQ announces leadership transition plan,QQQ,Yahoo Finance
2021-12-14,Strong consumer demand drives GOOGL sales higher,GOOGL,MarketWatch
2021-12-14,SPY faces regulatory scrutiny over business practices,SPY,Bloomberg
2021-12-14,Cryptocurrency volatility spills over into tech stocks,,Yahoo Finance
2021-12-15,Analysts downgrade SPY citing valuation concerns,SPY,Bloomberg
2021-12-15,Manufacturing PMI signals contraction for third month,,Yahoo Finance
2021-12-15,Markets tumble on recession fears and weak economic data,,Reuters
2021-12-17,GOOGL holds investor day with no major announcements,GOOGL,CNBC
2021-12-17,Institutional investors increase holdings in AAPL,AAPL,MarketWatch
2021-12-17,Oil prices surge on geopolitical tensions in Middle East,,CNBC
2021-12-20,SPY launches innovative product to positive reviews,SPY,MarketWatch
2021-12-20,AAPL files routine regulatory paperwork,AAPL,Bloomberg
2021-12-20,MSFT faces regulatory scrutiny over business practices,MSFT,Reuters
2021-12-21,AAPL secures major government contract worth billions,AAPL,Bloomberg
2021-12-21,Competition intensifies as AAPL loses market share,AAPL,CNBC
2021-12-21,Options activity in QQQ suggests sideways movement,QQQ,CNBC
2021-12-22,QQQ reports record revenue in Q1 results,QQQ,Yahoo Finance
2021-12-22,Mixed signals for AAPL as sector consolidates,AAPL,Reuters
2021-12-23,Mixed signals for GOOGL as sector consolidates,GOOGL,Yahoo Finance
2021-12-23,Central banks globally signal tightening monetary policy,,Reuters
2021-12-24,Small caps outperform as risk appetite improves,,Reuters
2021-12-27,QQQ volume picks up ahead of next week earnings,QQQ,Reuters
2021-12-29,Bond market inversion deepens recession concerns,,Yahoo Finance
2021-12-29,QQQ warns of supply chain disruptions impacting margins,QQQ,MarketWatch
2021-12-30,Options activity in QQQ suggests sideways movement,QQQ,Yahoo Finance
2021-12-31,Trading volume in SPY remains steady ahead of earnings,SPY,Reuters
2021-12-31,Small caps outperform as risk appetite improves,,Bloomberg
2022-01-03,"Fed signals potential rate changes, markets react",,Reuters
2022-01-04,SPY warns of supply chain disruptions impacting margins,SPY,CNBC
2022-01-05,SPY dividend increase signals management confidence,SPY,CNBC
2022-01-06,GDP growth slows but beats revised expectations,,Bloomberg
2022-01-07,Earnings season kicks off with mixed bank results,,MarketWatch
2022-01-07,MSFT announces leadership transition plan,MSFT,MarketWatch
2022-01-11,GOOGL reports results in line with expectations,GOOGL,CNBC
2022-01-11,Analysts maintain hold rating on SPY,SPY,CNBC
2022-01-12,MSFT volume picks up ahead of next week earnings,MSFT,Yahoo Finance
2022-01-13,Sector rotation leaves MSFT flat on the day,MSFT,Yahoo Finance
2022-01-13,GOOGL lowers guidance amid macroeconomic headwinds,GOOGL,Yahoo Finance
2022-01-14,Analysts downgrade AAPL citing valuation concerns,AAPL,CNBC
2022-01-14,GOOGL hit by data breach affecting millions of users,GOOGL,CNBC
2022-01-14,GOOGL trading near 50-day moving average,GOOGL,Yahoo Finance
2022-01-18,Market rally lifts SPY to new 52-week high,SPY,CNBC
2022-01-20,Sector rotation leaves QQQ flat on the day,QQQ,Bloomberg
2022-01-20,MSFT secures major government contract worth billions,MSFT,CNBC
2022-01-21,SPY completes previously announced restructuring,SPY,CNBC
2022-01-24,Tech sector leads market decline on growth concerns,,Bloomberg
2022-01-24,Retail investors drive unusual options activity,,Reuters
2022-01-24,Analysts maintain hold rating on MSFT,MSFT,Yahoo Finance
2022-01-25,Treasury yields climb as inflation data tops expectations,,Yahoo Finance
2022-01-25,SPY files routine regulatory paperwork,SPY,Reuters
2022-01-26,SPY trading near 50-day moving average,SPY,Yahoo Finance
2022-01-28,AAPL files routine regulatory paperwork,AAPL,Yahoo Finance
2022-01-28,GOOGL warns of supply chain disruptions impacting margins,GOOGL,Bloomberg
2022-02-01,Concerns mount over GOOGL slowing growth trajectory,GOOGL,Reuters
2022-02-01,MSFT launches innovative product to positive reviews,MSFT,Yahoo Finance
2022-02-02,Retail investors drive unusual options activity,,MarketWatch
2022-02-03,SPY lowers guidance amid macroeconomic headwinds,SPY,MarketWatch
