Date,Ticker,Open,High,Low,Close,Volume
2021-02-25,SPY,287.96,288.27,286.58,287.12,69079352
2021-02-26,SPY,286.84,287.2,284.19,285.01,55515277
2021-03-01,SPY,284.78,285.03,282.85,283.53,56012902
2021-03-02,SPY,283.29,283.92,280.97,281.5,123348185
2021-03-03,SPY,281.4,282.5,277.02,277.04,65114453
2021-03-04,SPY,278.44,283.35,276.19,282.7,79863667
2021-03-05,SPY,282.93,283.52,282.09,283.43,36508334
2021-03-08,SPY,283.6,289.38,282.28,287.42,77046720
2021-03-09,SPY,287.46,287.66,287.33,287.52,80420473
2021-03-10,SPY,286.8,287.53,285.6,285.66,50996537
2021-03-11,SPY,285.69,288.07,284.49,287.04,64062872
2021-03-12,SPY,287.78,290.98,284.25,290.2,63293825
2021-03-15,SPY,290.58,291.57,289.27,291.22,100106651
2021-03-16,SPY,291.12,292.48,290.52,290.62,79065723
2021-03-17,SPY,290.62,290.63,290.6,290.6,60502528
2021-03-18,SPY,290.86,293.19,290.25,291.85,47519301
2021-03-19,SPY,292.04,298.93,291.36,295.44,102986699
2021-03-22,SPY,296.38,300.23,293.96,298.03,37564000
2021-03-23,SPY,296.9,301.57,287.5,291.86,94521159
2021-03-24,SPY,291.96,293.79,291.51,293.15,45002426
2021-03-25,SPY,293.09,293.49,291.99,292.34,44185321
2021-03-26,SPY,292.2,292.38,291.26,291.94,56527466
2021-03-29,SPY,291.51,292.38,290.0,290.2,31672962
2021-03-30,SPY,289.95,290.83,278.01,284.26,133793635
2021-03-31,SPY,283.89,288.02,274.79,276.5,80287933
2021-04-01,SPY,277.22,280.93,276.42,279.56,57395671
2021-04-02,SPY,280.29,287.28,277.8,284.65,159247479
2021-04-05,SPY,284.69,285.39,284.4,285.17,41685922
2021-04-06,SPY,285.29,287.5,284.81,286.93,79663197
2021-04-07,SPY,287.01,288.08,286.32,287.58,65323589
2021-04-08,SPY,287.13,289.67,278.8,280.27,64885561
2021-04-09,SPY,279.7,281.05,272.61,274.66,79533935
2021-04-12,SPY,275.69,279.31,273.53,277.75,70237264
2021-04-13,SPY,277.77,278.23,277.55,278.21,57895582
2021-04-14,SPY,278.54,280.85,277.96,280.49,126795577
2021-04-15,SPY,281.55,285.98,276.88,284.03,69896516
2021-04-16,SPY,284.04,285.09,283.94,284.2,64600676
2021-04-19,SPY,284.89,286.42,283.74,286.12,128220580
2021-04-20,SPY,286.53,288.12,286.07,287.47,52276919
2021-04-21,SPY,287.7,290.91,287.07,290.04,77982051
2021-04-22,SPY,290.28,295.62,289.12,293.39,51881192
2021-04-23,SPY,294.0,296.43,293.06,296.37,51542462
2021-04-26,SPY,296.45,296.74,296.31,296.64,55665625
2021-04-27,SPY,295.15,297.58,291.03,292.85,75471621
2021-04-28,SPY,293.36,295.53,292.07,295.2,41164581
2021-04-29,SPY,295.36,299.57,294.95,297.94,44834169
2021-04-30,SPY,297.92,299.12,289.5,292.63,125721648
2021-05-03,SPY,292.69,295.48,290.75,294.67,66462211
2021-05-04,SPY,295.22,297.66,294.64,297.12,58002382
2021-05-05,SPY,293.61,304.56,285.71,286.94,113489334
2021-05-06,SPY,286.96,290.97,285.9,289.03,96643436
2021-05-07,SPY,288.93,289.5,285.44,286.6,84928427
2021-05-10,SPY,286.21,287.95,281.98,283.24,91509756
2021-05-11,SPY,284.58,290.94,281.88,288.91,61441788
2021-05-12,SPY,287.48,292.81,283.72,284.21,83713063
2021-05-13,SPY,284.21,284.22,284.16,284.21,29939430
2021-05-14,SPY,284.2,284.35,282.66,282.88,47786015
2021-05-17,SPY,283.29,285.05,282.63,284.6,85131282
2021-05-18,SPY,284.7,287.62,283.83,286.05,61711728
2021-05-19,SPY,286.23,287.31,285.64,286.67,36517409
2021-05-20,SPY,286.62,286.97,280.56,281.96,106825035
2021-05-21,SPY,281.77,282.18,274.9,277.62,68153610
2021-05-24,SPY,277.34,278.57,276.37,276.74,48175129
2021-05-25,SPY,276.93,279.57,276.66,279.31,84754517
2021-05-26,SPY,279.35,280.18,278.99,279.78,61658826
2021-05-27,SPY,279.76,279.82,279.69,279.74,34285417
2021-05-28,SPY,279.68,279.85,279.27,279.27,54176487
2021-05-31,SPY,279.31,280.76,278.68,280.53,45831292
2021-06-01,SPY,280.1,283.23,275.42,275.9,113216385
2021-06-02,SPY,275.99,276.54,275.25,276.14,46535742
2021-06-03,SPY,275.7,276.5,270.69,272.42,60652888
2021-06-04,SPY,271.97,272.62,270.54,270.59,79425749
2021-06-07,SPY,271.66,274.7,269.79,274.01,65784606
2021-06-08,SPY,273.94,274.38,273.25,273.79,59635578
2021-06-09,SPY,273.38,275.55,272.04,272.64,52774540
2021-06-10,SPY,273.31,275.56,271.59,274.95,55064184
2021-06-11,SPY,274.97,275.1,274.94,275.04,72493750
2021-06-14,SPY,275.33,276.94,274.72,275.93,51279549
2021-06-15,SPY,276.23,277.5,275.18,277.14,84744815
2021-06-16,SPY,277.23,278.5,276.59,278.43,47130132
2021-06-17,SPY,278.73,279.61,277.85,279.59,74042626
2021-06-18,SPY,279.79,280.91,279.56,280.38,61058244
2021-06-21,SPY,280.57,282.7,280.26,281.8,49571425
2021-06-22,SPY,281.94,282.45,281.19,282.3,52883793
2021-06-23,SPY,282.05,284.25,281.0,281.39,49165897
2021-06-24,SPY,282.02,285.49,278.68,285.34,58606625
2021-06-25,SPY,285.13,286.36,284.73,284.79,75959763
2021-06-28,SPY,284.75,284.98,283.85,284.13,82053531
2021-06-29,SPY,284.18,287.66,284.1,286.08,42373953
2021-06-30,SPY,286.55,289.48,285.73,288.02,31341718
2021-07-01,SPY,287.08,288.09,284.25,284.25,55813794
2021-07-02,SPY,285.17,292.58,281.58,291.41,138095658
2021-07-05,SPY,291.53,292.39,291.03,291.92,60262801
2021-07-06,SPY,292.1,292.75,290.88,292.6,105252568
2021-07-07,SPY,292.51,292.77,291.38,292.29,87990759
2021-07-08,SPY,296.14,309.19,291.58,303.33,111254082
2021-07-09,SPY,302.38,305.26,297.44,297.47,82193544
2021-07-12,SPY,298.16,299.59,297.07,299.52,98635658
2021-07-13,SPY,299.52,301.79,299.19,299.76,82877303
2021-07-14,SPY,300.69,306.92,297.12,304.75,74648635
2021-07-15,SPY,304.39,306.35,301.34,303.0,50757197
2021-07-16,SPY,302.13,304.63,297.81,299.71,80314199
2021-07-19,SPY,299.0,299.74,296.6,296.75,47126705
2021-07-20,SPY,297.17,298.66,295.58,298.31,58578243
2021-07-21,SPY,298.76,300.95,297.39,300.16,74038858
2021-07-22,SPY,300.53,302.04,299.12,301.88,56803030
2021-07-23,SPY,302.0,302.39,301.56,302.32,46081714
2021-07-26,SPY,302.19,302.74,297.75,299.8,69754448
2021-07-27,SPY,299.57,299.97,298.98,299.2,69290223
2021-07-28,SPY,299.71,300.83,298.82,300.57,61287224
2021-07-29,SPY,301.28,305.4,299.56,303.27,76225564
2021-07-30,SPY,303.41,304.72,303.04,304.13,62521091
2021-08-02,SPY,303.97,304.94,299.29,300.94,67664503
2021-08-03,SPY,300.97,302.13,300.39,301.1,81538283
2021-08-04,SPY,300.52,301.82,296.86,297.97,115810449
2021-08-05,SPY,297.84,297.98,296.66,297.17,35306455
2021-08-06,SPY,300.14,306.74,296.48,305.18,122198873
2021-08-09,SPY,305.02,305.78,303.85,304.45,45915963
2021-08-10,SPY,303.06,307.31,299.1,299.34,83231965
2021-08-11,SPY,298.39,300.62,293.13,295.04,80126088
2021-08-12,SPY,294.92,295.39,293.46,293.72,67487657
2021-08-13,SPY,294.29,300.14,292.47,298.88,71622326
2021-08-16,SPY,299.13,303.5,296.19,302.55,53063412
2021-08-17,SPY,302.77,305.56,301.04,303.96,65294840
2021-08-18,SPY,306.33,314.28,300.13,312.22,61447948
2021-08-19,SPY,313.41,319.55,310.9,317.95,84947141
2021-08-20,SPY,316.51,321.83,310.43,312.58,60515747
2021-08-23,SPY,312.97,314.83,311.98,314.42,76090847
2021-08-24,SPY,314.21,316.45,310.01,310.9,49073389
2021-08-25,SPY,311.15,311.78,310.6,311.65,61652460
2021-08-26,SPY,313.37,317.92,310.32,316.24,76541175
2021-08-27,SPY,316.67,320.3,314.84,318.4,65605873
2021-08-30,SPY,318.35,318.61,317.95,318.13,48328684
2021-08-31,SPY,316.88,318.32,314.26,314.51,79825013
2021-09-01,SPY,314.71,318.73,311.07,318.01,75860609
2021-09-02,SPY,317.68,318.19,316.49,316.63,74084919
2021-09-03,SPY,316.12,319.79,310.01,310.67,150294079
2021-09-06,SPY,310.3,312.06,303.77,305.45,115677962
2021-09-07,SPY,304.14,306.51,299.53,300.44,99594023
2021-09-08,SPY,300.11,300.86,296.34,298.74,55329602
2021-09-09,SPY,298.68,299.96,297.44,297.99,35089837
2021-09-10,SPY,298.46,301.24,297.2,299.81,37604149
2021-09-13,SPY,299.31,300.11,297.52,298.35,70493309
2021-09-14,SPY,299.08,300.45,298.09,300.32,82251973
2021-09-15,SPY,300.34,301.29,300.15,300.37,68218082
2021-09-16,SPY,299.7,300.89,297.47,298.28,31508873
2021-09-17,SPY,298.5,299.6,297.74,299.27,45108273
2021-09-20,SPY,299.37,303.81,298.31,302.86,75688314
2021-09-21,SPY,302.65,303.5,301.75,301.79,58528596
2021-09-22,SPY,301.63,302.12,296.21,297.52,105383158
2021-09-23,SPY,296.82,297.78,293.35,293.98,53121708
2021-09-24,SPY,293.52,294.71,292.46,292.82,65640952
2021-09-27,SPY,293.03,300.76,292.28,297.64,71799537
2021-09-28,SPY,297.66,297.95,297.19,297.7,61499051
2021-09-29,SPY,297.9,299.36,297.55,298.59,67631036
2021-09-30,SPY,298.39,298.85,296.34,296.96,77887442
2021-10-01,SPY,299.66,309.55,289.68,304.93,118968734
2021-10-04,SPY,305.76,309.26,302.77,309.07,73206533
2021-10-05,SPY,309.08,315.92,307.24,315.1,82220622
2021-10-06,SPY,314.82,320.02,308.27,308.5,120485705
2021-10-07,SPY,308.5,308.63,308.48,308.54,37330319
2021-10-08,SPY,309.52,314.3,307.63,313.29,63806247
2021-10-11,SPY,312.86,314.39,308.47,309.73,86205025
2021-10-12,SPY,307.84,310.17,302.89,304.9,98701536
2021-10-13,SPY,305.99,312.29,301.58,310.8,40870472
2021-10-14,SPY,310.8,311.45,310.75,311.42,50106055
2021-10-15,SPY,313.51,317.55,309.86,317.18,70569750
2021-10-18,SPY,317.15,317.56,314.86,314.89,52772787
2021-10-19,SPY,313.79,315.23,311.89,311.97,82317037
2021-10-20,SPY,311.69,312.99,310.24,310.48,40316121
2021-10-21,SPY,310.7,312.1,310.34,311.56,81353130
2021-10-22,SPY,311.59,312.14,310.97,312.09,22381645
2021-10-25,SPY,313.81,321.33,312.05,317.43,70237825
2021-10-26,SPY,317.42,317.68,317.26,317.41,37652870
2021-10-27,SPY,317.48,318.09,317.2,317.72,50969908
2021-10-28,SPY,317.73,318.11,317.69,317.84,33001717
2021-10-29,SPY,318.02,322.14,317.76,320.74,90505448
2021-11-01,SPY,321.05,322.78,320.09,322.5,70466045
2021-11-02,SPY,322.74,323.36,322.49,323.1,61907594
2021-11-03,SPY,324.28,328.54,321.52,327.23,169621302
2021-11-04,SPY,327.54,329.65,326.64,328.89,86080972
2021-11-05,SPY,329.88,332.42,327.19,332.39,63034070
2021-11-08,SPY,332.26,332.73,330.22,331.52,88025541
2021-11-09,SPY,332.38,335.13,329.86,334.68,101277689
2021-11-10,SPY,334.85,337.22,334.57,336.07,105826067
2021-11-11,SPY,335.69,336.69,331.64,332.44,103102949
2021-11-12,SPY,332.9,335.2,331.68,334.53,61498586
2021-11-15,SPY,334.52,334.55,334.36,334.46,53405166
2021-11-16,SPY,335.26,337.53,333.44,336.86,91085241
2021-11-17,SPY,336.85,337.83,335.59,335.71,51802711
2021-11-18,SPY,335.48,336.48,334.38,335.07,90575276
2021-11-19,SPY,335.0,335.73,332.76,333.29,66307167
2021-11-22,SPY,333.56,336.14,331.32,335.41,78362054
2021-11-23,SPY,335.13,335.8,333.57,334.24,85558874
2021-11-24,SPY,335.28,337.76,332.19,336.97,64429855
2021-11-25,SPY,337.45,339.72,336.17,339.51,44781657
2021-11-26,SPY,339.49,341.84,331.5,331.75,65177952
2021-11-29,SPY,331.67,331.94,329.22,329.48,79694411
2021-11-30,SPY,329.94,330.65,327.81,330.63,56659894
2021-12-01,SPY,330.09,333.11,327.97,328.39,75772696
2021-12-02,SPY,328.29,328.51,325.0,326.36,83258342
2021-12-03,SPY,326.11,328.77,318.24,318.56,105780746
2021-12-06,SPY,318.43,319.5,317.99,318.06,53780229
2021-12-07,SPY,318.07,321.51,316.68,321.08,73203931
2021-12-08,SPY,320.81,321.16,319.01,319.14,46536473
2021-12-09,SPY,319.72,326.89,317.09,323.83,108257958
2021-12-10,SPY,324.49,329.43,323.61,328.99,108173725
2021-12-13,SPY,329.59,334.25,327.28,332.48,64810640
2021-12-14,SPY,335.45,343.72,331.88,341.23,154716920
2021-12-15,SPY,341.4,348.16,341.0,345.54,45728316
2021-12-16,SPY,345.28,345.58,343.75,343.78,53107678
2021-12-17,SPY,343.81,344.19,343.69,344.17,115546933
2021-12-20,SPY,343.92,344.81,343.01,343.3,56088906
2021-12-21,SPY,342.82,344.53,341.11,341.27,53919634
2021-12-22,SPY,341.59,344.03,340.66,343.01,49699943
2021-12-23,SPY,343.32,344.49,342.21,344.29,48729793
2021-12-24,SPY,343.83,344.5,343.09,343.11,57932176
2021-12-27,SPY,343.24,343.77,342.4,343.74,31375211
2021-12-28,SPY,344.19,346.67,343.49,346.22,123930968
2021-12-29,SPY,346.67,351.21,345.18,349.88,95478432
2021-12-30,SPY,349.93,351.01,349.54,350.27,55875424
2021-12-31,SPY,350.17,350.32,349.88,349.93,48772031
2022-01-03,SPY,349.18,353.04,345.54,346.7,56829768
2022-01-04,SPY,346.27,347.05,344.51,345.11,68309734
2022-01-05,SPY,343.92,347.42,339.13,339.7,75113957
2022-01-06,SPY,339.06,339.82,336.82,337.77,115737857
2022-01-07,SPY,335.96,341.36,326.35,329.71,83802137
2022-01-10,SPY,329.88,332.92,329.48,331.97,80436995
2022-01-11,SPY,333.43,338.45,331.43,335.83,71750604
2022-01-12,SPY,337.61,343.42,334.03,340.57,64597016
2022-01-13,SPY,340.6,341.25,340.18,341.05,62660064
2022-01-14,SPY,340.8,341.5,338.54,338.72,127652867
2022-01-17,SPY,336.28,341.6,328.94,329.11,104068593
2022-01-18,SPY,326.61,332.11,319.51,320.55,152623488
2022-01-19,SPY,321.1,323.62,320.23,323.49,55005964
2022-01-20,SPY,323.51,324.17,322.99,324.1,39129045
2022-01-21,SPY,324.43,325.29,323.72,325.02,74019957
2022-01-24,SPY,325.33,332.8,323.53,331.01,96776843
2022-01-25,SPY,330.91,331.16,329.54,330.27,79843819
2022-01-26,SPY,330.88,335.79,329.12,333.06,76314924
2022-01-27,SPY,333.42,340.69,331.82,338.95,96941620
2022-01-28,SPY,339.15,339.91,338.7,339.81,105122350
2022-01-31,SPY,340.87,345.63,337.81,344.1,55211020
2022-02-01,SPY,344.17,344.45,343.82,344.33,49212121
2022-02-02,SPY,344.91,347.41,342.8,345.88,37397166
2022-02-03,SPY,345.75,346.15,345.07,345.55,53831662
2022-02-04,SPY,344.38,347.63,339.14,339.48,97471175
2022-02-07,SPY,337.22,340.54,325.09,328.12,147362622
2022-02-08,SPY,326.21,329.85,318.5,321.28,112920104
2022-02-09,SPY,321.25,321.48,320.7,321.0,81142067
2022-02-10,SPY,321.32,322.98,319.79,322.46,51814523
2022-02-11,SPY,324.76,330.0,319.59,328.9,93422921
2022-02-14,SPY,327.42,329.32,312.09,315.44,206472827
2022-02-15,SPY,317.16,321.12,314.34,319.93,92677911
2022-02-16,SPY,319.78,321.97,316.98,318.76,55028395
2022-02-17,SPY,319.86,323.62,318.18,322.09,75450381
2022-02-18,SPY,321.46,322.58,319.49,319.59,44084610
2022-02-21,SPY,319.55,320.11,318.89,319.32,52852817
2022-02-22,SPY,318.81,319.44,316.49,316.97,137077230
2022-02-23,SPY,316.97,317.23,316.07,316.34,73310237
2022-02-24,SPY,317.53,324.03,315.43,321.22,64802327
2022-02-25,SPY,320.82,322.29,319.57,319.93,41412005
2022-02-28,SPY,318.68,324.02,314.66,314.97,43116129
2022-03-01,SPY,315.16,316.28,314.83,315.64,38104298
2022-03-02,SPY,315.63,315.8,314.4,314.75,68205580
2022-03-03,SPY,315.24,319.79,314.1,317.32,32731035
2022-03-04,SPY,317.27,317.87,315.91,316.09,59505974
2022-03-07,SPY,316.38,319.94,315.23,317.58,68489440
2022-03-08,SPY,318.11,321.46,316.87,320.22,64166163
2022-03-09,SPY,320.22,320.51,320.17,320.46,35743058
2022-03-10,SPY,320.74,323.52,319.6,323.28,56623735
2022-03-11,SPY,325.24,329.3,320.7,328.26,103334901
2022-03-14,SPY,328.72,329.76,328.17,329.52,57948284
2022-03-15,SPY,329.66,331.45,328.82,331.27,48539455
2022-03-16,SPY,331.75,334.44,327.56,333.03,67223694
2022-03-17,SPY,332.96,333.43,332.68,332.72,78586734
2022-03-18,SPY,333.63,339.01,328.65,337.04,149656026
2022-03-21,SPY,335.06,340.21,328.2,331.75,104752510
2022-03-22,SPY,332.51,335.69,330.84,334.6,114699394
2022-03-23,SPY,335.55,337.86,334.29,337.5,29611641
2022-03-24,SPY,340.17,347.26,334.42,345.66,100423854
2022-03-25,SPY,345.45,345.94,343.97,344.8,35590346
2022-03-28,SPY,344.67,345.45,343.48,343.98,33439311
2022-03-29,SPY,343.53,344.66,341.47,342.69,78603691
2022-03-30,SPY,343.91,348.17,342.53,346.57,74837475
2022-03-31,SPY,346.81,349.7,344.79,347.88,78249290
2022-04-01,SPY,347.9,347.96,347.77,347.95,64336699
2022-04-04,SPY,348.73,356.24,344.32,353.43,99045334
2022-04-05,SPY,354.02,356.63,352.64,355.11,60636574
2022-04-06,SPY,354.36,355.13,352.29,352.88,82366762
2022-04-07,SPY,353.43,355.27,351.72,354.85,73100391
2022-04-08,SPY,354.75,355.33,354.06,354.13,61851164
2022-04-11,SPY,354.06,354.72,353.25,353.39,45727180
2022-04-12,SPY,353.88,367.25,350.27,360.55,129306762
2022-04-13,SPY,360.56,361.46,360.46,360.7,38677501
2022-04-14,SPY,360.56,361.3,359.94,360.0,57252510
2022-04-15,SPY,360.01,360.07,359.92,360.04,66984666
2022-04-18,SPY,361.35,364.67,357.03,364.19,71150233
2022-04-19,SPY,364.1,364.32,363.89,363.91,41899354
2022-04-20,SPY,363.92,364.4,363.8,364.18,52320497
2022-04-21,SPY,364.26,365.21,363.82,364.76,43526271
2022-04-22,SPY,364.76,365.05,363.19,364.53,68762302
2022-04-25,SPY,363.74,365.94,360.6,361.9,74640909
2022-04-26,SPY,362.2,368.26,360.67,365.65,85202295
2022-04-27,SPY,365.98,368.13,365.08,367.08,64330368
2022-04-28,SPY,367.19,369.01,366.53,368.19,41870301
2022-04-29,SPY,367.71,368.24,364.66,365.03,59739369
2022-05-02,SPY,365.77,369.42,364.9,367.91,66249689
2022-05-03,SPY,367.42,368.69,364.35,366.05,73629973
2022-05-04,SPY,366.23,369.31,365.57,367.8,59326851
2022-05-05,SPY,366.13,370.06,362.3,363.59,69040609
2022-05-06,SPY,363.95,364.77,362.77,364.68,44350968
2022-05-09,SPY,364.52,366.2,360.11,361.75,63748115
2022-05-10,SPY,361.7,362.03,361.48,361.55,66772347
2022-05-11,SPY,361.68,362.72,360.73,362.45,87437209
2022-05-12,SPY,358.92,362.88,349.1,353.07,131162449
2022-05-13,SPY,352.69,353.6,351.42,351.58,96181283
2022-05-16,SPY,351.35,351.67,349.78,350.34,54753953
2022-05-17,SPY,352.68,357.95,350.04,356.97,130298416
2022-05-18,SPY,356.36,357.12,354.15,354.8,67534565
2022-05-19,SPY,355.7,358.79,354.79,358.1,101357585
2022-05-20,SPY,357.31,359.68,354.64,356.0,55107882
2022-05-23,SPY,355.63,357.41,352.39,352.99,105642813
2022-05-24,SPY,352.04,353.16,347.3,348.47,69341046
2022-05-25,SPY,348.48,349.16,348.27,348.59,53609676
2022-05-26,SPY,349.02,350.26,348.35,349.91,34147652
2022-05-27,SPY,349.79,351.23,346.03,346.15,43322694
2022-05-30,SPY,345.92,346.39,344.51,345.14,51263408
2022-05-31,SPY,345.34,349.43,344.88,347.61,84656692
2022-06-01,SPY,347.58,347.65,346.77,347.44,45761951
2022-06-02,SPY,345.98,348.15,335.49,339.98,159318443
2022-06-03,SPY,340.16,344.05,339.67,342.34,46928849
2022-06-06,SPY,342.04,343.08,339.32,340.31,67465968
2022-06-07,SPY,341.27,344.21,339.41,343.88,84453771
2022-06-08,SPY,343.38,344.71,341.71,342.21,87824505
2022-06-09,SPY,341.92,343.05,338.34,339.2,56874819
2022-06-10,SPY,339.8,342.22,336.26,341.73,57135552
2022-06-13,SPY,341.51,342.54,340.4,340.69,60481779
2022-06-14,SPY,340.69,342.74,340.37,340.83,55493683
2022-06-15,SPY,340.79,340.99,339.52,340.23,67465471
2022-06-16,SPY,339.88,340.47,338.44,338.93,73427617
2022-06-17,SPY,339.0,339.7,338.78,339.43,66660281
2022-06-20,SPY,339.75,341.3,338.52,340.26,48275061
2022-06-21,SPY,340.63,343.94,339.61,342.36,59319153
2022-06-22,SPY,342.11,342.65,337.78,338.29,54123239
2022-06-23,SPY,338.82,341.06,337.53,340.05,77581087
2022-06-24,SPY,340.32,342.05,339.38,340.8,51133736
2022-06-27,SPY,341.2,343.78,340.21,343.1,47214878
2022-06-28,SPY,343.54,349.94,339.01,349.73,167378411
2022-06-29,SPY,348.5,351.24,345.0,345.97,78383284
2022-06-30,SPY,346.87,351.81,345.72,349.85,76711396
2022-07-01,SPY,349.8,350.38,349.52,349.59,48510045
2022-07-04,SPY,349.78,353.2,348.9,351.77,112261832
2022-07-05,SPY,352.06,354.43,351.66,353.86,93877132
2022-07-06,SPY,353.6,357.56,351.59,352.18,71352029
2022-07-07,SPY,352.58,354.64,351.89,354.04,70490610
2022-07-08,SPY,353.53,354.8,352.22,352.27,69838808
2022-07-11,SPY,351.92,352.43,349.2,349.82,69931736
2022-07-12,SPY,349.96,354.65,348.13,353.18,57436014
2022-07-13,SPY,352.91,353.49,347.08,348.95,67970156
2022-07-14,SPY,348.78,349.25,346.87,348.5,53165474
2022-07-15,SPY,348.36,348.67,347.74,348.06,87975410
2022-07-18,SPY,348.32,349.72,347.87,349.29,53677251
2022-07-19,SPY,350.07,353.43,349.22,353.05,106079015
2022-07-20,SPY,351.47,353.81,345.61,347.18,127699734
2022-07-21,SPY,346.53,348.65,344.45,345.45,67969881
2022-07-22,SPY,345.14,348.43,339.05,340.91,72753644
2022-07-25,SPY,340.77,341.45,338.1,338.85,104025732
2022-07-26,SPY,338.83,339.37,335.43,336.76,94519821
2022-07-27,SPY,336.87,337.03,336.55,337.03,81028569
2022-07-28,SPY,337.06,338.56,336.48,338.39,31108165
2022-07-29,SPY,338.26,338.85,337.36,337.43,43007566
2022-08-01,SPY,336.75,338.33,331.72,334.23,43519315
2022-08-02,SPY,333.51,335.05,328.42,329.24,67507901
2022-08-03,SPY,328.2,329.77,323.97,325.17,92958005
2022-08-04,SPY,324.77,325.87,322.32,323.68,51695498
2022-08-05,SPY,325.05,329.47,322.07,328.78,125907579
2022-08-08,SPY,328.62,330.08,327.61,327.9,69286940
2022-08-09,SPY,330.87,341.02,326.88,335.85,117262017
2022-08-10,SPY,336.8,339.49,334.84,338.6,87209370
2022-08-11,SPY,339.34,346.16,337.02,342.89,132723934
2022-08-12,SPY,342.57,344.13,336.99,339.23,90802264
2022-08-15,SPY,339.47,342.33,338.45,341.09,61356232
2022-08-16,SPY,341.09,342.17,340.38,341.11,53058061
2022-08-17,SPY,341.12,341.88,341.11,341.64,126362767
2022-08-18,SPY,341.18,342.63,337.11,337.68,60798149
2022-08-19,SPY,337.86,340.06,337.38,339.23,62838585
2022-08-22,SPY,337.48,339.32,330.76,332.65,132448613
2022-08-23,SPY,333.73,337.13,332.39,336.34,57206396
2022-08-24,SPY,335.89,338.8,332.96,333.37,59132457
2022-08-25,SPY,333.25,334.51,328.48,328.74,78720151
2022-08-26,SPY,328.49,330.22,327.64,327.69,42436060
2022-08-29,SPY,329.09,335.08,326.79,332.06,82061094
2022-08-30,SPY,332.59,340.81,331.98,337.79,95409003
2022-08-31,SPY,335.78,340.0,328.28,330.09,80487388
2022-09-01,SPY,330.06,330.33,329.88,329.91,85053910
2022-09-02,SPY,328.05,330.99,323.18,324.98,139697553
2022-09-05,SPY,324.37,325.66,322.55,322.75,48584024
2022-09-06,SPY,324.67,332.1,320.97,328.64,70575036
2022-09-07,SPY,328.64,328.99,324.83,324.87,118827968
2022-09-08,SPY,324.33,330.27,312.97,314.96,101201313
2022-09-09,SPY,315.02,316.27,314.18,315.84,52843998
2022-09-12,SPY,316.09,322.56,314.88,322.27,85543434
2022-09-13,SPY,322.35,324.88,321.9,323.5,61195552
2022-09-14,SPY,323.25,325.17,321.98,322.2,38280867
2022-09-15,SPY,322.56,329.21,320.48,326.83,57375081
2022-09-16,SPY,329.87,342.15,323.8,334.46,113721319
2022-09-19,SPY,332.75,339.63,325.11,327.43,90632412
2022-09-20,SPY,328.74,335.83,326.33,334.83,81913368
2022-09-21,SPY,334.29,334.89,331.1,331.77,67952604
2022-09-22,SPY,331.68,331.91,330.77,330.93,58294596
2022-09-23,SPY,330.28,331.74,326.07,326.87,74151437
