date,headline,ticker,source,positive,negative,neutral,label,compound_score
2021-02-02,Trading volume in AAPL remains steady ahead of earnings,AAPL,Reuters,0.0759,0.2075,0.7165,neutral,-0.1316
2021-02-02,GOOGL profit margins expand amid cost cutting efforts,GOOGL,MarketWatch,0.2941,0.2477,0.4582,neutral,0.0464
2021-02-02,Short sellers increase bets against GOOGL,GOOGL,Bloomberg,0.9039,0.0749,0.0212,positive,0.829
2021-02-03,QQQ announces major share buyback program,QQQ,Yahoo Finance,0.2047,0.3301,0.4652,neutral,-0.1254
2021-02-03,Market selloff drags SPY below key support levels,SPY,Reuters,0.1418,0.6586,0.1997,negative,-0.5168
2021-02-04,Rising costs pressure QQQ profit margins,QQQ,MarketWatch,0.1044,0.844,0.0515,negative,-0.7396
2021-02-04,MSFT announces leadership transition plan,MSFT,MarketWatch,0.2253,0.2393,0.5354,neutral,-0.014
2021-02-05,GDP growth slows but beats revised expectations,,MarketWatch,0.657,0.0249,0.3181,positive,0.6321
2021-02-09,Consumer confidence drops to lowest level in six months,,MarketWatch,0.0835,0.7381,0.1784,negative,-0.6546
2021-02-11,SPY secures major government contract worth billions,SPY,MarketWatch,0.8323,0.1325,0.0352,positive,0.6998
2021-02-12,Mixed signals for AAPL as sector consolidates,AAPL,Yahoo Finance,0.1624,0.2813,0.5563,neutral,-0.1189
2021-02-15,Options activity in MSFT suggests sideways movement,MSFT,CNBC,0.1311,0.2778,0.5911,neutral,-0.1468
2021-02-15,"AAPL beats earnings expectations, shares surge",AAPL,MarketWatch,0.8251,0.0879,0.0871,positive,0.7372
2021-02-16,Trade tensions weigh on SPY international revenue,SPY,MarketWatch,0.2126,0.0632,0.7242,neutral,0.1493
2021-02-17,QQQ board approves routine corporate matters,QQQ,Bloomberg,0.0912,0.3952,0.5136,neutral,-0.304
2021-02-18,Market rally lifts QQQ to new 52-week high,QQQ,MarketWatch,0.6878,0.0651,0.2471,positive,0.6227
2021-02-22,MSFT lowers guidance amid macroeconomic headwinds,MSFT,Yahoo Finance,0.0439,0.7006,0.2555,negative,-0.6568
2021-02-22,Retail investors drive unusual options activity,,Bloomberg,0.0864,0.1701,0.7435,neutral,-0.0837
2021-02-22,SPY to present at upcoming investor conference,SPY,MarketWatch,0.0533,0.3009,0.6458,neutral,-0.2477
2021-02-23,Concerns mount over SPY slowing growth trajectory,SPY,Yahoo Finance,0.0602,0.7006,0.2392,negative,-0.6404
2021-02-24,Market rally lifts GOOGL to new 52-week high,GOOGL,Reuters,0.6913,0.0848,0.2239,positive,0.6066
2021-02-25,Manufacturing PMI signals contraction for third month,,MarketWatch,0.0959,0.7721,0.132,negative,-0.6763
2021-02-26,Analysts downgrade AAPL citing valuation concerns,AAPL,Reuters,0.1298,0.7834,0.0868,negative,-0.6536
2021-03-03,GOOGL holds investor day with no major announcements,GOOGL,Bloomberg,0.2343,0.0497,0.716,neutral,0.1846
2021-03-03,Short sellers increase bets against AAPL,AAPL,MarketWatch,0.5792,0.145,0.2758,positive,0.4342
2021-03-03,Institutional investors increase holdings in SPY,SPY,Reuters,0.8802,0.11,0.0098,positive,0.7703
2021-03-04,AAPL announces leadership transition plan,AAPL,MarketWatch,0.1127,0.2821,0.6052,neutral,-0.1695
2021-03-05,QQQ dividend increase signals management confidence,QQQ,Yahoo Finance,0.8298,0.1341,0.036,positive,0.6957
2021-03-05,SPY reports record revenue in Q2 results,SPY,Yahoo Finance,0.7961,0.1018,0.1021,positive,0.6943
2021-03-05,SPY holds investor day with no major announcements,SPY,Yahoo Finance,0.1394,0.3526,0.5079,neutral,-0.2132
2021-03-08,Competition intensifies as QQQ loses market share,QQQ,CNBC,0.0222,0.8176,0.1602,negative,-0.7954
2021-03-08,GOOGL faces regulatory scrutiny over business practices,GOOGL,MarketWatch,0.1197,0.7873,0.0931,negative,-0.6676
2021-03-08,Strong consumer demand drives MSFT sales higher,MSFT,CNBC,0.6738,0.0299,0.2963,positive,0.6439
2021-03-09,Market rally lifts MSFT to new 52-week high,MSFT,Yahoo Finance,0.8531,0.0384,0.1085,positive,0.8146
2021-03-09,MSFT reports record revenue in Q3 results,MSFT,CNBC,0.6872,0.1119,0.2009,positive,0.5753
2021-03-09,MSFT files routine regulatory paperwork,MSFT,Yahoo Finance,0.2656,0.0393,0.6951,neutral,0.2263
2021-03-10,MSFT reports results in line with expectations,MSFT,Yahoo Finance,0.169,0.2219,0.6091,neutral,-0.0529
2021-03-10,QQQ announces major share buyback program,QQQ,MarketWatch,0.1908,0.1047,0.7045,neutral,0.086
2021-03-11,GDP growth slows but beats revised expectations,,Reuters,0.7641,0.0764,0.1595,positive,0.6877
2021-03-11,Short sellers increase bets against QQQ,QQQ,CNBC,0.6879,0.0825,0.2296,positive,0.6055
2021-03-12,SPY announces major share buyback program,SPY,MarketWatch,0.1359,0.3047,0.5595,neutral,-0.1688
2021-03-15,Concerns mount over SPY slowing growth trajectory,SPY,Yahoo Finance,0.0637,0.9177,0.0186,negative,-0.8539
2021-03-15,Trade tensions weigh on QQQ international revenue,QQQ,CNBC,0.1385,0.3346,0.5269,neutral,-0.1961
2021-03-15,MSFT layoffs signal deeper problems in core business,MSFT,CNBC,0.1384,0.7686,0.093,negative,-0.6302
2021-03-16,S&P 500 closes at session highs on broad rally,,Reuters,0.8415,0.1295,0.029,positive,0.712
2021-03-17,Short sellers increase bets against SPY,SPY,Bloomberg,0.8529,0.1373,0.0098,positive,0.7156
2021-03-17,MSFT holds investor day with no major announcements,MSFT,CNBC,0.1646,0.3149,0.5205,neutral,-0.1503
2021-03-18,GOOGL completes previously announced restructuring,GOOGL,Reuters,0.1455,0.289,0.5656,neutral,-0.1435
2021-03-18,AAPL announces major share buyback program,AAPL,Yahoo Finance,0.1505,0.2039,0.6457,neutral,-0.0534
2021-03-19,GOOGL hit by data breach affecting millions of users,GOOGL,Bloomberg,0.0697,0.778,0.1523,negative,-0.7083
2021-03-22,"SPY misses revenue estimates, stock drops",SPY,MarketWatch,0.0659,0.6651,0.269,negative,-0.5992
2021-03-22,Trade tensions weigh on GOOGL international revenue,GOOGL,Yahoo Finance,0.2003,0.1086,0.6911,neutral,0.0917
2021-03-22,SPY dividend increase signals management confidence,SPY,Yahoo Finance,0.8682,0.1223,0.0095,positive,0.7459
2021-03-23,SPY hit by data breach affecting millions of users,SPY,CNBC,0.0515,0.7297,0.2188,negative,-0.6782
2021-03-23,Concerns mount over GOOGL slowing growth trajectory,GOOGL,MarketWatch,0.1145,0.7993,0.0862,negative,-0.6849
2021-03-23,SPY board approves routine corporate matters,SPY,CNBC,0.1075,0.3033,0.5893,neutral,-0.1958
2021-03-24,Analysts maintain hold rating on GOOGL,GOOGL,Bloomberg,0.1135,0.2694,0.6172,neutral,-0.1559
2021-03-24,AAPL to present at upcoming investor conference,AAPL,Bloomberg,0.2072,0.0608,0.732,neutral,0.1464
2021-03-24,Global markets rally on trade deal optimism,,Reuters,0.658,0.048,0.2939,positive,0.61
2021-03-25,Rising costs pressure AAPL profit margins,AAPL,Bloomberg,0.112,0.8152,0.0728,negative,-0.7032
2021-03-25,Trade tensions weigh on SPY international revenue,SPY,CNBC,0.2036,0.1673,0.6291,neutral,0.0363
2021-03-25,Bond market inversion deepens recession concerns,,MarketWatch,0.0668,0.7734,0.1598,negative,-0.7066
2021-03-29,SPY reports record revenue in Q2 results,SPY,MarketWatch,0.8968,0.0823,0.0209,positive,0.8145
2021-03-30,Wall Street bullish on QQQ growth prospects,QQQ,Yahoo Finance,0.5575,0.0653,0.3772,positive,0.4922
2021-04-01,"Job report exceeds expectations, stocks mixed",,Bloomberg,0.1408,0.3701,0.4891,neutral,-0.2292
2021-04-02,Housing market shows signs of cooling as rates rise,,Reuters,0.0557,0.3119,0.6325,neutral,-0.2562
2021-04-02,GOOGL layoffs signal deeper problems in core business,GOOGL,MarketWatch,0.0993,0.872,0.0287,negative,-0.7726
2021-04-05,Mixed signals for GOOGL as sector consolidates,GOOGL,MarketWatch,0.1278,0.3336,0.5386,neutral,-0.2058
2021-04-05,SPY warns of supply chain disruptions impacting margins,SPY,Bloomberg,0.0523,0.7223,0.2255,negative,-0.67
2021-04-06,Markets tumble on recession fears and weak economic data,,Yahoo Finance,0.0235,0.5516,0.4249,negative,-0.5282
2021-04-07,GOOGL completes previously announced restructuring,GOOGL,Bloomberg,0.0811,0.3616,0.5573,neutral,-0.2806
2021-04-07,Options activity in GOOGL suggests sideways movement,GOOGL,Bloomberg,0.2648,0.2785,0.4567,neutral,-0.0137
2021-04-08,AAPL faces regulatory scrutiny over business practices,AAPL,Bloomberg,0.0854,0.6514,0.2632,negative,-0.566
2021-04-09,SPY holds investor day with no major announcements,SPY,CNBC,0.0617,0.4345,0.5038,neutral,-0.3728
2021-04-09,AAPL secures major government contract worth billions,AAPL,Yahoo Finance,0.8256,0.0362,0.1382,positive,0.7894
2021-04-09,QQQ maintains dividend at current levels,QQQ,Reuters,0.1968,0.3455,0.4577,neutral,-0.1487
2021-04-12,MSFT completes previously announced restructuring,MSFT,MarketWatch,0.1591,0.3869,0.454,neutral,-0.2278
2021-04-13,"SPY misses revenue estimates, stock drops",SPY,Reuters,0.0615,0.6569,0.2816,negative,-0.5953
2021-04-13,SPY dividend increase signals management confidence,SPY,MarketWatch,0.5514,0.1454,0.3032,positive,0.4061
2021-04-14,QQQ trading near 50-day moving average,QQQ,Reuters,0.1931,0.2018,0.6051,neutral,-0.0087
2021-04-15,"AAPL beats earnings expectations, shares surge",AAPL,Yahoo Finance,0.7965,0.1237,0.0799,positive,0.6728
2021-04-16,AAPL holds investor day with no major announcements,AAPL,Reuters,0.2405,0.1271,0.6324,neutral,0.1135
2021-04-19,Analysts maintain hold rating on SPY,SPY,MarketWatch,0.1428,0.2726,0.5846,neutral,-0.1297
2021-04-19,MSFT cloud revenue growth accelerates in latest quarter,MSFT,Reuters,0.8546,0.1325,0.013,positive,0.7221
2021-04-20,QQQ volume picks up ahead of next week earnings,QQQ,CNBC,0.1857,0.323,0.4913,neutral,-0.1373
2021-04-21,"QQQ beats earnings expectations, shares surge",QQQ,CNBC,0.8029,0.0309,0.1662,positive,0.7721
2021-04-23,Market selloff drags QQQ below key support levels,QQQ,Reuters,0.0876,0.894,0.0184,negative,-0.8063
2021-04-26,Market selloff drags SPY below key support levels,SPY,Yahoo Finance,0.0432,0.7888,0.168,negative,-0.7456
2021-04-26,MSFT secures major government contract worth billions,MSFT,Reuters,0.6478,0.0357,0.3164,positive,0.6121
2021-04-26,MSFT CFO departure raises governance questions,MSFT,Bloomberg,0.1731,0.2977,0.5292,neutral,-0.1246
2021-04-28,QQQ CFO departure raises governance questions,QQQ,Yahoo Finance,0.1834,0.1165,0.7001,neutral,0.067
2021-04-29,VIX spikes as volatility returns to equity markets,,CNBC,0.0612,0.4155,0.5233,neutral,-0.3544
2021-04-30,Tech sector leads market decline on growth concerns,,Bloomberg,0.0746,0.7801,0.1453,negative,-0.7055
2021-04-30,SPY volume picks up ahead of next week earnings,SPY,Bloomberg,0.2449,0.01,0.7451,neutral,0.2349
2021-04-30,GOOGL launches innovative product to positive reviews,GOOGL,MarketWatch,0.8491,0.0216,0.1293,positive,0.8275
2021-05-03,SPY raises full-year guidance above consensus,SPY,Bloomberg,0.8378,0.0453,0.1169,positive,0.7925
2021-05-03,Trading volume in GOOGL remains steady ahead of earnings,GOOGL,Yahoo Finance,0.1619,0.2124,0.6257,neutral,-0.0506
2021-05-03,Markets tumble on recession fears and weak economic data,,MarketWatch,0.0373,0.7615,0.2012,negative,-0.7241
2021-05-04,AAPL files routine regulatory paperwork,AAPL,CNBC,0.0592,0.3537,0.5871,neutral,-0.2945
2021-05-07,Bond market inversion deepens recession concerns,,MarketWatch,0.1055,0.5652,0.3293,negative,-0.4597
2021-05-10,MSFT announces leadership transition plan,MSFT,Bloomberg,0.2443,0.0201,0.7355,neutral,0.2242
2021-05-10,"MSFT misses revenue estimates, stock drops",MSFT,MarketWatch,0.0273,0.7236,0.2491,negative,-0.6963
2021-05-11,Trade tensions weigh on GOOGL international revenue,GOOGL,Bloomberg,0.0895,0.447,0.4635,neutral,-0.3575
2021-05-12,SPY files routine regulatory paperwork,SPY,MarketWatch,0.1497,0.1076,0.7427,neutral,0.0421
2021-05-13,SPY lowers guidance amid macroeconomic headwinds,SPY,MarketWatch,0.1117,0.8621,0.0263,negative,-0.7504
2021-05-17,Wall Street bullish on MSFT growth prospects,MSFT,CNBC,0.774,0.1432,0.0828,positive,0.6308
2021-05-17,AAPL completes previously announced restructuring,AAPL,Reuters,0.1637,0.3172,0.5191,neutral,-0.1534
2021-05-17,MSFT files routine regulatory paperwork,MSFT,MarketWatch,0.1879,0.1026,0.7094,neutral,0.0853
2021-05-18,AAPL board approves routine corporate matters,AAPL,MarketWatch,0.1022,0.3738,0.5239,neutral,-0.2716
2021-05-19,"Fed signals potential rate changes, markets react",,Bloomberg,0.0532,0.2709,0.6759,neutral,-0.2177
2021-05-19,QQQ warns of supply chain disruptions impacting margins,QQQ,MarketWatch,0.0224,0.8883,0.0894,negative,-0.8659
2021-05-20,AAPL hit by data breach affecting millions of users,AAPL,CNBC,0.0986,0.7835,0.1179,negative,-0.6848
2021-05-20,GDP growth slows but beats revised expectations,,Reuters,0.764,0.0817,0.1543,positive,0.6823
2021-05-21,MSFT trading near 50-day moving average,MSFT,Yahoo Finance,0.2148,0.0794,0.7057,neutral,0.1354
2021-05-21,Options activity in GOOGL suggests sideways movement,GOOGL,Yahoo Finance,0.0789,0.2366,0.6846,neutral,-0.1577
2021-05-21,QQQ CFO departure raises governance questions,QQQ,Reuters,0.0571,0.4779,0.465,neutral,-0.4208
2021-05-24,Market rally lifts QQQ to new 52-week high,QQQ,Yahoo Finance,0.6045,0.1067,0.2888,positive,0.4978
2021-05-24,S&P 500 closes at session highs on broad rally,,Reuters,0.7328,0.1178,0.1494,positive,0.615
2021-05-25,GOOGL layoffs signal deeper problems in core business,GOOGL,CNBC,0.0677,0.6209,0.3114,negative,-0.5532
2021-05-25,Cryptocurrency volatility spills over into tech stocks,,MarketWatch,0.281,0.0099,0.7091,neutral,0.2711
2021-05-26,MSFT announces major share buyback program,MSFT,CNBC,0.2546,0.0189,0.7265,neutral,0.2357
2021-05-27,QQQ faces regulatory scrutiny over business practices,QQQ,Yahoo Finance,0.1388,0.8046,0.0566,negative,-0.6659
2021-05-27,Market rally lifts MSFT to new 52-week high,MSFT,Reuters,0.8142,0.144,0.0417,positive,0.6702
2021-05-27,Market rally lifts GOOGL to new 52-week high,GOOGL,Yahoo Finance,0.5592,0.1398,0.301,positive,0.4194
2021-05-28,QQQ dividend increase signals management confidence,QQQ,CNBC,0.7556,0.0345,0.2098,positive,0.7211
2021-05-28,Analysts downgrade MSFT citing valuation concerns,MSFT,CNBC,0.1308,0.6295,0.2397,negative,-0.4987
2021-05-31,Strong consumer demand drives GOOGL sales higher,GOOGL,MarketWatch,0.7373,0.1478,0.115,positive,0.5895
2021-05-31,Sector rotation leaves QQQ flat on the day,QQQ,CNBC,0.1531,0.3616,0.4853,neutral,-0.2085
2021-06-01,Options activity in QQQ suggests sideways movement,QQQ,MarketWatch,0.179,0.2714,0.5496,neutral,-0.0924
2021-06-02,Manufacturing PMI signals contraction for third month,,Reuters,0.106,0.7844,0.1096,negative,-0.6784
2021-06-02,Options activity in MSFT suggests sideways movement,MSFT,Bloomberg,0.0722,0.4774,0.4504,neutral,-0.4051
2021-06-03,AAPL announces major share buyback program,AAPL,Bloomberg,0.2661,0.2733,0.4605,neutral,-0.0072
2021-06-03,GOOGL holds investor day with no major announcements,GOOGL,Reuters,0.1418,0.3142,0.544,neutral,-0.1725
2021-06-04,Trading volume in QQQ remains steady ahead of earnings,QQQ,Reuters,0.2623,0.1526,0.5851,neutral,0.1098
2021-06-07,QQQ profit margins expand amid cost cutting efforts,QQQ,CNBC,0.0797,0.4661,0.4542,neutral,-0.3864
2021-06-07,Cryptocurrency volatility spills over into tech stocks,,Bloomberg,0.291,0.0535,0.6555,neutral,0.2375
2021-06-08,Competition intensifies as MSFT loses market share,MSFT,Yahoo Finance,0.0539,0.7878,0.1582,negative,-0.7339
2021-06-10,MSFT announces major share buyback program,MSFT,MarketWatch,0.2937,0.1003,0.606,neutral,0.1934
2021-06-10,SPY faces class action lawsuit from shareholders,SPY,CNBC,0.0686,0.7454,0.1861,negative,-0.6768
2021-06-11,"Fed signals potential rate changes, markets react",,Bloomberg,0.2918,0.1432,0.565,neutral,0.1485
2021-06-14,Housing market shows signs of cooling as rates rise,,CNBC,0.2218,0.1125,0.6657,neutral,0.1093
2021-06-14,MSFT secures major government contract worth billions,MSFT,CNBC,0.6359,0.0927,0.2714,positive,0.5431
2021-06-14,AAPL faces regulatory scrutiny over business practices,AAPL,CNBC,0.0512,0.682,0.2668,negative,-0.6308
2021-06-15,"MSFT beats earnings expectations, shares surge",MSFT,CNBC,0.8814,0.0698,0.0488,positive,0.8115
2021-06-15,QQQ completes previously announced restructuring,QQQ,Reuters,0.2829,0.1822,0.5348,neutral,0.1007
2021-06-16,GOOGL board approves routine corporate matters,GOOGL,CNBC,0.2364,0.2544,0.5092,neutral,-0.018
2021-06-16,GOOGL board approves routine corporate matters,GOOGL,Yahoo Finance,0.2801,0.0741,0.6458,neutral,0.2061
2021-06-17,Analysts maintain hold rating on MSFT,MSFT,CNBC,0.2263,0.0741,0.6996,neutral,0.1523
2021-06-21,Dollar strengthens as global growth concerns persist,,Yahoo Finance,0.0844,0.6664,0.2492,negative,-0.582
2021-06-22,Wall Street bullish on MSFT growth prospects,MSFT,Reuters,0.8995,0.023,0.0775,positive,0.8764
2021-06-22,AAPL layoffs signal deeper problems in core business,AAPL,CNBC,0.0527,0.8439,0.1034,negative,-0.7912
2021-06-22,Options activity in MSFT suggests sideways movement,MSFT,Yahoo Finance,0.1081,0.3864,0.5055,neutral,-0.2784
2021-06-23,Manufacturing PMI signals contraction for third month,,Yahoo Finance,0.149,0.5721,0.2789,negative,-0.4232
2021-06-24,Central banks globally signal tightening monetary policy,,Yahoo Finance,0.1803,0.1088,0.711,neutral,0.0715
2021-06-24,QQQ maintains dividend at current levels,QQQ,Yahoo Finance,0.1891,0.1463,0.6645,neutral,0.0428
2021-06-25,"Fed signals potential rate changes, markets react",,Reuters,0.2612,0.0453,0.6935,neutral,0.2159
2021-06-28,SPY to present at upcoming investor conference,SPY,Reuters,0.1649,0.3152,0.5198,neutral,-0.1503
2021-06-28,Trading volume in MSFT remains steady ahead of earnings,MSFT,MarketWatch,0.2946,0.0649,0.6405,neutral,0.2297
2021-07-01,MSFT to present at upcoming investor conference,MSFT,Bloomberg,0.2744,0.0708,0.6548,neutral,0.2036
2021-07-02,Trading volume in GOOGL remains steady ahead of earnings,GOOGL,Reuters,0.1955,0.1007,0.7038,neutral,0.0949
2021-07-02,SPY warns of supply chain disruptions impacting margins,SPY,Bloomberg,0.0691,0.8807,0.0503,negative,-0.8116
2021-07-06,Strong consumer demand drives MSFT sales higher,MSFT,Reuters,0.6903,0.1215,0.1881,positive,0.5688
2021-07-06,GOOGL announces leadership transition plan,GOOGL,Yahoo Finance,0.1265,0.3832,0.4904,neutral,-0.2567
2021-07-07,Housing market shows signs of cooling as rates rise,,MarketWatch,0.155,0.2124,0.6326,neutral,-0.0574
2021-07-07,Mixed signals for SPY as sector consolidates,SPY,Bloomberg,0.2807,0.0097,0.7096,neutral,0.271
2021-07-07,MSFT trading near 50-day moving average,MSFT,Yahoo Finance,0.1848,0.2145,0.6008,neutral,-0.0297
2021-07-08,AAPL dividend increase signals management confidence,AAPL,CNBC,0.8181,0.0794,0.1024,positive,0.7387
2021-07-08,Manufacturing PMI signals contraction for third month,,Yahoo Finance,0.1171,0.6203,0.2626,negative,-0.5032
2021-07-09,AAPL expands into new market with strategic acquisition,AAPL,Reuters,0.823,0.0518,0.1252,positive,0.7711
2021-07-09,QQQ expands into new market with strategic acquisition,QQQ,MarketWatch,0.8582,0.0998,0.042,positive,0.7584
2021-07-13,Market rally lifts GOOGL to new 52-week high,GOOGL,CNBC,0.6374,0.1048,0.2578,positive,0.5327
2021-07-14,GOOGL expands into new market with strategic acquisition,GOOGL,Bloomberg,0.6364,0.0545,0.3091,positive,0.582
2021-07-14,QQQ CFO departure raises governance questions,QQQ,Bloomberg,0.2824,0.0132,0.7044,neutral,0.2691
2021-07-15,MSFT holds investor day with no major announcements,MSFT,CNBC,0.282,0.1909,0.5271,neutral,0.0911
2021-07-15,Small caps outperform as risk appetite improves,,MarketWatch,0.6384,0.0352,0.3264,positive,0.6031
2021-07-16,Rising costs pressure MSFT profit margins,MSFT,Yahoo Finance,0.0515,0.5715,0.377,negative,-0.5201
2021-07-19,Sector rotation leaves AAPL flat on the day,AAPL,CNBC,0.2819,0.1525,0.5656,neutral,0.1293
2021-07-20,AAPL announces major share buyback program,AAPL,Bloomberg,0.1414,0.336,0.5226,neutral,-0.1946
2021-07-20,Consumer confidence drops to lowest level in six months,,MarketWatch,0.0593,0.8216,0.1191,negative,-0.7624
2021-07-22,AAPL faces class action lawsuit from shareholders,AAPL,MarketWatch,0.0762,0.8032,0.1206,negative,-0.727
2021-07-26,SPY to present at upcoming investor conference,SPY,CNBC,0.2335,0.2576,0.5089,neutral,-0.024
2021-07-27,Sector rotation leaves GOOGL flat on the day,GOOGL,CNBC,0.1231,0.4188,0.4581,neutral,-0.2957
2021-07-27,Manufacturing PMI signals contraction for third month,,CNBC,0.0796,0.6818,0.2386,negative,-0.6022
2021-07-29,Market selloff drags SPY below key support levels,SPY,Bloomberg,0.0797,0.8016,0.1187,negative,-0.7218
2021-07-29,MSFT to present at upcoming investor conference,MSFT,Bloomberg,0.1989,0.1728,0.6283,neutral,0.0262
2021-07-30,Analysts maintain hold rating on GOOGL,GOOGL,CNBC,0.2835,0.1545,0.562,neutral,0.129
2021-08-02,Central banks globally signal tightening monetary policy,,MarketWatch,0.1955,0.0678,0.7368,neutral,0.1277
2021-08-03,MSFT raises full-year guidance above consensus,MSFT,Bloomberg,0.5765,0.0838,0.3396,positive,0.4927
2021-08-03,GDP growth slows but beats revised expectations,,Bloomberg,0.6182,0.0828,0.2989,positive,0.5354
2021-08-03,Options activity in AAPL suggests sideways movement,AAPL,Yahoo Finance,0.226,0.2675,0.5065,neutral,-0.0415
2021-08-04,QQQ faces class action lawsuit from shareholders,QQQ,Yahoo Finance,0.1439,0.5798,0.2763,negative,-0.4358
2021-08-04,GOOGL completes previously announced restructuring,GOOGL,Reuters,0.2152,0.2762,0.5086,neutral,-0.0611
2021-08-06,MSFT announces major share buyback program,MSFT,MarketWatch,0.112,0.1629,0.7251,neutral,-0.051
2021-08-11,Earnings season kicks off with mixed bank results,,MarketWatch,0.1472,0.1225,0.7303,neutral,0.0246
2021-08-11,SPY warns of supply chain disruptions impacting margins,SPY,Bloomberg,0.1378,0.8528,0.0094,negative,-0.715
2021-08-12,AAPL faces regulatory scrutiny over business practices,AAPL,Bloomberg,0.128,0.6196,0.2524,negative,-0.4915
2021-08-13,"GOOGL misses revenue estimates, stock drops",GOOGL,Bloomberg,0.0494,0.6216,0.329,negative,-0.5721
2021-08-13,SPY reports results in line with expectations,SPY,Reuters,0.0891,0.4356,0.4752,neutral,-0.3465
2021-08-17,Rising costs pressure MSFT profit margins,MSFT,Yahoo Finance,0.0784,0.7839,0.1377,negative,-0.7055
2021-08-17,Small caps outperform as risk appetite improves,,Bloomberg,0.8426,0.0632,0.0942,positive,0.7795
2021-08-17,Sector rotation leaves MSFT flat on the day,MSFT,Bloomberg,0.0625,0.1969,0.7406,neutral,-0.1345
2021-08-18,Trading volume in SPY remains steady ahead of earnings,SPY,CNBC,0.2253,0.3058,0.4689,neutral,-0.0804
2021-08-19,Markets tumble on recession fears and weak economic data,,Yahoo Finance,0.122,0.8681,0.0099,negative,-0.7462
2021-08-19,MSFT expands into new market with strategic acquisition,MSFT,MarketWatch,0.7312,0.0551,0.2137,positive,0.6762
2021-08-20,Analysts maintain hold rating on SPY,SPY,Reuters,0.1774,0.3686,0.454,neutral,-0.1912
2021-08-23,Market rally lifts GOOGL to new 52-week high,GOOGL,Yahoo Finance,0.726,0.0648,0.2093,positive,0.6612
2021-08-24,SPY faces regulatory scrutiny over business practices,SPY,MarketWatch,0.1147,0.7639,0.1214,negative,-0.6491
